"Gemeinde_Nr","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_KT_d","Gemeinde_KT_f","Gemeinde_KT_i","Text_d","Text_f","Text_i"
2401,13.4,13.4,86.6,"Egerkingen SO","Egerkingen (SO)","Egerkingen SO","Egerkingen hat das Ausländerstimm- und wahlrecht auf kommunaler Ebene mit 86,6 Prozent abgelehnt.",,
2402,18.1,18.1,81.9,"Härkingen SO","Härkingen (SO)","Härkingen SO","Keine Mehrheit für das Ausländerstimm- und wahlrecht auf kommunaler Ebene in Härkingen. 81,9 Prozent haben sie verworfen.",,
2403,19.1,19.1,80.9,"Kestenholz SO","Kestenholz (SO)","Kestenholz SO","Kestenholz hat das Ausländerstimm- und wahlrecht auf kommunaler Ebene mit 80,9 Prozent abgelehnt.",,
2404,50,0,0,"Neuendorf SO","Neuendorf (SO)","Neuendorf SO","Die Resultate dieser Gemeinde sind noch nicht bekannt.","Les résultats ne sont pas encore connus dans cette commune.","I resultati di questa comune non sono ancora noti."
2405,17.9,17.9,82.1,"Niederbuchsiten SO","Niederbuchsiten (SO)","Niederbuchsiten SO","Keine Mehrheit für das Ausländerstimm- und wahlrecht auf kommunaler Ebene in Niederbuchsiten. 82,1 Prozent haben sie verworfen.",,
2406,19.3,19.3,80.7,"Oberbuchsiten SO","Oberbuchsiten (SO)","Oberbuchsiten SO","Keine Mehrheit für das Ausländerstimm- und wahlrecht auf kommunaler Ebene in Oberbuchsiten. 80,7 Prozent haben sie verworfen.",,
2407,18.6,18.6,81.4,"Oensingen SO","Oensingen (SO)","Oensingen SO","Oensingen hat das Ausländerstimm- und wahlrecht auf kommunaler Ebene mit 81,4 Prozent abgelehnt.",,
2408,16.4,16.4,83.6,"Wolfwil SO","Wolfwil (SO)","Wolfwil SO","Wolfwil hat das Ausländerstimm- und wahlrecht auf kommunaler Ebene mit 83,6 Prozent abgelehnt.",,
2421,18.2,18.2,81.8,"Aedermannsdorf SO","Aedermannsdorf (SO)","Aedermannsdorf SO","Aedermannsdorf hat das Ausländerstimm- und wahlrecht auf kommunaler Ebene mit 81,8 Prozent abgelehnt.",,
2422,18.9,18.9,81.1,"Balsthal SO","Balsthal (SO)","Balsthal SO","Balsthal hat das Ausländerstimm- und wahlrecht auf kommunaler Ebene mit 81,1 Prozent abgelehnt.",,
2424,17.2,17.2,82.8,"Herbetswil SO","Herbetswil (SO)","Herbetswil SO","Herbetswil hat das Ausländerstimm- und wahlrecht auf kommunaler Ebene mit 82,8 Prozent abgelehnt.",,
2425,14.4,14.4,85.6,"Holderbank SO","Holderbank (SO)","Holderbank SO","Nein zum Ausländerstimm- und wahlrecht auf kommunaler Ebene in Holderbank SO: 85,6 Prozent haben das Begehren abgelehnt.",,
2426,14.5,14.5,85.5,"Laupersdorf SO","Laupersdorf (SO)","Laupersdorf SO","Nein zum Ausländerstimm- und wahlrecht auf kommunaler Ebene in Laupersdorf: 85,5 Prozent haben das Begehren abgelehnt.",,
