"Gemeinde_Nr","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_KT_d","Gemeinde_KT_f","Gemeinde_KT_i","Text_d","Text_f","Text_i"
1,27.8,27.8,72.2,"Aeugst am Albis ZH","Aeugst am Albis (ZH)","Aeugst am Albis ZH","In Aeugst am Albis hat die 99-Prozent-Initiative keine Mehrheit gefunden. Auf 72,2 Prozent der abgegebenen Stimmzettel stand ein Nein.","Les habitants d'Aeugst am Albis rejettent l'initiative de la Jeunesse socialiste ""Alléger les impôts sur les salaires, imposer équitablement le capital"", dite ""initiative 99%"", avec 72,2 pour cent de non.","Nel comune di Aeugst am Albis l'Iniziativa""Sgravare i salari, tassare equamente il capitale"" è stata bocciata con il 72,2 percento dei voti."
2,33.7,33.7,66.3,"Affoltern am Albis ZH","Affoltern am Albis (ZH)","Affoltern am Albis ZH","Keine Mehrheit für die 99-Prozent-Initiative in Affoltern am Albis: Mit 2'470 Nein-Stimmen zu 1'258 Ja-Stimmen oder 66,3 Prozent hat die Gemeinde das Volksbegehren verworfen.","A Affoltern am Albis, c'est non à 66,3 pour cent à l'initiative de la Jeunesse socialiste ""Alléger les impôts sur les salaires, imposer équitablement le capital"", dite ""initiative 99%"".","Con il 66,3 percento di ""no"" i cittadini del comune di Affoltern am Albis hanno bocciato l'Iniziativa ""Sgravare i salari, tassare equamente il capitale""."
3,33.7,33.7,66.3,"Bonstetten ZH","Bonstetten (ZH)","Bonstetten ZH","Keine Mehrheit für die 99-Prozent-Initiative in Bonstetten: Mit 1'481 Nein-Stimmen zu 753 Ja-Stimmen oder 66,3 Prozent hat die Gemeinde das Volksbegehren verworfen.","A Bonstetten, c'est non à 66,3 pour cent à l'initiative de la Jeunesse socialiste ""Alléger les impôts sur les salaires, imposer équitablement le capital"", dite ""initiative 99%"".","Con il 66,3 percento di ""no"" i cittadini del comune di Bonstetten hanno bocciato l'Iniziativa ""Sgravare i salari, tassare equamente il capitale""."
4,31.7,31.7,68.3,"Hausen am Albis ZH","Hausen am Albis (ZH)","Hausen am Albis ZH","Nein zum 99-Prozent-Initiative in Hausen am Albis. Die Gemeinde hat das Volksbegehren mit 68,3 Prozent abgelehnt.","A Hausen am Albis, les habitants disent non à 68,3 pour cent à l'initiative de la Jeunesse socialiste ""Alléger les impôts sur les salaires, imposer équitablement le capital"", dite ""initiative 99%"".","Nel comune di Hausen am Albis l'Iniziativa popolare ""Sgravare i salari, tassare equamente il capitale"" è stata respinta con il 68,3 percento dei voti."
5,29.3,29.3,70.7,"Hedingen ZH","Hedingen (ZH)","Hedingen ZH","70,7 Prozent der Stimmbürgerinnen und Stimmbürger von Hedingen sagen Nein zur 99-Prozent-Initiative.","Les habitants de Hedingen s'opposent à l'initiative de la Jeunesse socialiste ""Alléger les impôts sur les salaires, imposer équitablement le capital"", dite ""initiative 99%"", avec 70,7 pour cent de non.","No all'iniziativa 99% nel comune di Hedingen: i cittadini hanno bocciato il testo con il 70,7 percento dei voti."
6,26.5,26.5,73.5,"Kappel am Albis ZH","Kappel am Albis (ZH)","Kappel am Albis ZH","Keine Mehrheit für die 99-Prozent-Initiative in Kappel am Albis: Mit 330 Nein-Stimmen zu 119 Ja-Stimmen oder 73,5 Prozent hat die Gemeinde das Volksbegehren verworfen.","A Kappel am Albis, c'est non à 73,5 pour cent à l'initiative de la Jeunesse socialiste ""Alléger les impôts sur les salaires, imposer équitablement le capital"", dite ""initiative 99%"".","Con il 73,5 percento di ""no"" i cittadini del comune di Kappel am Albis hanno bocciato l'Iniziativa ""Sgravare i salari, tassare equamente il capitale""."
7,29.4,29.4,70.6,"Knonau ZH","Knonau (ZH)","Knonau ZH","70,6 Prozent der Stimmbürgerinnen und Stimmbürger von Knonau sagen Nein zur 99-Prozent-Initiative.","Les habitants de Knonau s'opposent à l'initiative de la Jeunesse socialiste ""Alléger les impôts sur les salaires, imposer équitablement le capital"", dite ""initiative 99%"", avec 70,6 pour cent de non.","No all'iniziativa 99% nel comune di Knonau: i cittadini hanno bocciato il testo con il 70,6 percento dei voti."
8,30.5,30.5,69.5,"Maschwanden ZH","Maschwanden (ZH)","Maschwanden ZH","In Maschwanden hat die Stimmbevölkerung die 99-Prozent-Initiative abgelehnt. Das Volksbegehren wurde mit einem Nein-Stimmen-Anteil von 69,5 Prozent verworfen.","A Maschwanden, les habitants sont défavorables à l'initiative de la Jeunesse socialiste ""Alléger les impôts sur les salaires, imposer équitablement le capital"", dite ""initiative 99%"", avec 69,5 pour cent de non.","I cittadini di Maschwanden si sono opposti all'iniziativa ""Sgravare i salari, tassare equamente il capitale"". Il testo è stato respinto con il 69,5 percento dei voti."
9,28.4,28.4,71.6,"Mettmenstetten ZH","Mettmenstetten (ZH)","Mettmenstetten ZH","Nein zum 99-Prozent-Initiative in Mettmenstetten. Die Gemeinde hat das Volksbegehren mit 71,6 Prozent abgelehnt.","A Mettmenstetten, les habitants disent non à 71,6 pour cent à l'initiative de la Jeunesse socialiste ""Alléger les impôts sur les salaires, imposer équitablement le capital"", dite ""initiative 99%"".","Nel comune di Mettmenstetten l'Iniziativa popolare ""Sgravare i salari, tassare equamente il capitale"" è stata respinta con il 71,6 percento dei voti."
10,32.9,32.9,67.1,"Obfelden ZH","Obfelden (ZH)","Obfelden ZH","Nein zum 99-Prozent-Initiative in Obfelden. Die Gemeinde hat das Volksbegehren mit 67,1 Prozent abgelehnt.","A Obfelden, les habitants disent non à 67,1 pour cent à l'initiative de la Jeunesse socialiste ""Alléger les impôts sur les salaires, imposer équitablement le capital"", dite ""initiative 99%"".","Nel comune di Obfelden l'Iniziativa popolare ""Sgravare i salari, tassare equamente il capitale"" è stata respinta con il 67,1 percento dei voti."
