"","Gemeinde_f","Gemeinde_d","Gemeinde_i","Kanton_Short","Ja_Stimmen_In_Prozent","Commune","Gemeinde","Comune","Canton","Kanton","Cantone","Pourcentage de oui","Ja in %","Percentuale di sì"
"1","Astano","Astano","Astano","TI",68.707482993,"Astano","Astano","Astano","TI","TI","TI",68.707482993,68.707482993,68.707482993
"2","Berne","Bern","Berna","BE",68.026563729,"Berne","Bern","Berna","BE","BE","BE",68.026563729,68.026563729,68.026563729
"3","Zurich","Zürich","Zurigo","ZH",65.300067139,"Zurich","Zürich","Zurigo","ZH","ZH","ZH",65.300067139,65.300067139,65.300067139
"4","Quinto","Quinto","Quinto","TI",61.872146119,"Quinto","Quinto","Quinto","TI","TI","TI",61.872146119,61.872146119,61.872146119
"5","Bâle","Basel","Basilea","BS",60.848872446,"Bâle","Basel","Basilea","BS","BS","BS",60.848872446,60.848872446,60.848872446
"6","Bremgarten bei Bern","Bremgarten bei Bern","Bremgarten bei Bern","BE",59.712230216,"Bremgarten bei Bern","Bremgarten bei Bern","Bremgarten bei Bern","BE","BE","BE",59.712230216,59.712230216,59.712230216
"7","Trogen","Trogen","Trogen","AR",58.743455497,"Trogen","Trogen","Trogen","AR","AR","AR",58.743455497,58.743455497,58.743455497
"8","Bienne","Biel BE","Biel BE","BE",58.493775087,"Bienne","Biel BE","Biel BE","BE","BE","BE",58.493775087,58.493775087,58.493775087
"9","Rodersdorf","Rodersdorf","Rodersdorf","SO",57.928388747,"Rodersdorf","Rodersdorf","Rodersdorf","SO","SO","SO",57.928388747,57.928388747,57.928388747
"10","Olten","Olten","Olten","SO",57.909132351,"Olten","Olten","Olten","SO","SO","SO",57.909132351,57.909132351,57.909132351
"11","Flurlingen","Flurlingen","Flurlingen","ZH",57.5,"Flurlingen","Flurlingen","Flurlingen","ZH","ZH","ZH",57.5,57.5,57.5
"12","Ennetbaden","Ennetbaden","Ennetbaden","AG",57.486979167,"Ennetbaden","Ennetbaden","Ennetbaden","AG","AG","AG",57.486979167,57.486979167,57.486979167
"13","Winterthour","Winterthur","Winterthur","ZH",57.032608437,"Winterthour","Winterthur","Winterthur","ZH","ZH","ZH",57.032608437,57.032608437,57.032608437
"14","Soleure","Solothurn","Soletta","SO",56.423658872,"Soleure","Solothurn","Soletta","SO","SO","SO",56.423658872,56.423658872,56.423658872
"15","Baden","Baden","Baden","AG",55.908912446,"Baden","Baden","Baden","AG","AG","AG",55.908912446,55.908912446,55.908912446
"16","Nidau","Nidau","Nidau","BE",55.829015544,"Nidau","Nidau","Nidau","BE","BE","BE",55.829015544,55.829015544,55.829015544
"17","Lucerne","Luzern","Lucerna","LU",55.809181841,"Lucerne","Luzern","Lucerna","LU","LU","LU",55.809181841,55.809181841,55.809181841
"18","Aarau","Aarau","Aarau","AG",55.715871254,"Aarau","Aarau","Aarau","AG","AG","AG",55.715871254,55.715871254,55.715871254
"19","Evilard","Leubringen","Leubringen","BE",55.456750202,"Evilard","Leubringen","Leubringen","BE","BE","BE",55.456750202,55.456750202,55.456750202
"20","Arlesheim","Arlesheim","Arlesheim","BL",54.857881137,"Arlesheim","Arlesheim","Arlesheim","BL","BL","BL",54.857881137,54.857881137,54.857881137
"21","Genève","Genf","Ginevra","GE",54.576466521,"Genève","Genf","Ginevra","GE","GE","GE",54.576466521,54.576466521,54.576466521
"22","Dornach","Dornach","Dornach","SO",54.219030521,"Dornach","Dornach","Dornach","SO","SO","SO",54.219030521,54.219030521,54.219030521
"23","Saint-Gall","St. Gallen","San Gallo","SG",54.016508959,"Saint-Gall","St. Gallen","San Gallo","SG","SG","SG",54.016508959,54.016508959,54.016508959
"24","Stetten (AG)","Stetten AG","Stetten AG","AG",53.922789539,"Stetten (AG)","Stetten AG","Stetten AG","AG","AG","AG",53.922789539,53.922789539,53.922789539
"25","Gempen","Gempen","Gempen","SO",53.773584906,"Gempen","Gempen","Gempen","SO","SO","SO",53.773584906,53.773584906,53.773584906
"26","Köniz","Köniz","Köniz","BE",53.657027118,"Köniz","Köniz","Köniz","BE","BE","BE",53.657027118,53.657027118,53.657027118
"27","Mergoscia","Mergoscia","Mergoscia","TI",53.608247423,"Mergoscia","Mergoscia","Mergoscia","TI","TI","TI",53.608247423,53.608247423,53.608247423
"28","Schaffhouse","Schaffhausen","Sciaffusa","SH",52.847165419,"Schaffhouse","Schaffhausen","Sciaffusa","SH","SH","SH",52.847165419,52.847165419,52.847165419
