"","Gemeinde_f","Gemeinde_d","Gemeinde_i","Kanton_Short","Ja_Stimmen_In_Prozent","Commune","Gemeinde","Comune","Canton","Kanton","Cantone","Pourcentage de oui","Ja in %","Percentuale di sì"
"1","Berne","Bern","Berna","BE",77.483299052,"Berne","Bern","Berna","BE","BE","BE",77.483299052,77.483299052,77.483299052
"2","Zurich","Zürich","Zurigo","ZH",72.317871269,"Zurich","Zürich","Zurigo","ZH","ZH","ZH",72.317871269,72.317871269,72.317871269
"3","Villars-le-Comte","Villars-le-Comte","Villars-le-Comte","VD",72.307692308,"Villars-le-Comte","Villars-le-Comte","Villars-le-Comte","VD","VD","VD",72.307692308,72.307692308,72.307692308
"4","Ennetbaden","Ennetbaden","Ennetbaden","AG",69.706840391,"Ennetbaden","Ennetbaden","Ennetbaden","AG","AG","AG",69.706840391,69.706840391,69.706840391
"5","Bâle","Basel","Basilea","BS",67.995921394,"Bâle","Basel","Basilea","BS","BS","BS",67.995921394,67.995921394,67.995921394
"6","Bremgarten bei Bern","Bremgarten bei Bern","Bremgarten bei Bern","BE",67.866786679,"Bremgarten bei Bern","Bremgarten bei Bern","Bremgarten bei Bern","BE","BE","BE",67.866786679,67.866786679,67.866786679
"7","Lausanne","Lausanne","Losanna","VD",67.718162195,"Lausanne","Lausanne","Losanna","VD","VD","VD",67.718162195,67.718162195,67.718162195
"8","Fribourg","Freiburg","Friburgo","FR",67.332560421,"Fribourg","Freiburg","Friburgo","FR","FR","FR",67.332560421,67.332560421,67.332560421
"9","Lucerne","Luzern","Lucerna","LU",66.584499152,"Lucerne","Luzern","Lucerna","LU","LU","LU",66.584499152,66.584499152,66.584499152
"10","Soleure","Solothurn","Soletta","SO",66.27032937,"Soleure","Solothurn","Soletta","SO","SO","SO",66.27032937,66.27032937,66.27032937
"11","Choulex","Choulex","Choulex","GE",66.098081023,"Choulex","Choulex","Choulex","GE","GE","GE",66.098081023,66.098081023,66.098081023
"12","Olten","Olten","Olten","SO",65.85812357,"Olten","Olten","Olten","SO","SO","SO",65.85812357,65.85812357,65.85812357
"13","Vevey","Vevey","Vevey","VD",65.745623286,"Vevey","Vevey","Vevey","VD","VD","VD",65.745623286,65.745623286,65.745623286
"14","Baden","Baden","Baden","AG",65.525322224,"Baden","Baden","Baden","AG","AG","AG",65.525322224,65.525322224,65.525322224
"15","Genève","Genf","Ginevra","GE",65.385235518,"Genève","Genf","Ginevra","GE","GE","GE",65.385235518,65.385235518,65.385235518
"16","Aarau","Aarau","Aarau","AG",65.137919575,"Aarau","Aarau","Aarau","AG","AG","AG",65.137919575,65.137919575,65.137919575
"17","Carouge (GE)","CarouGE","CarouGE","GE",64.593467686,"Carouge (GE)","CarouGE","CarouGE","GE","GE","GE",64.593467686,64.593467686,64.593467686
"18","Winterthour","Winterthur","Winterthur","ZH",64.31578697,"Winterthour","Winterthur","Winterthur","ZH","ZH","ZH",64.31578697,64.31578697,64.31578697
"19","Bienne","Biel BE","Biel BE","BE",63.852224792,"Bienne","Biel BE","Biel BE","BE","BE","BE",63.852224792,63.852224792,63.852224792
"20","Köniz","Köniz","Köniz","BE",63.729577465,"Köniz","Köniz","Köniz","BE","BE","BE",63.729577465,63.729577465,63.729577465
"21","Neuchâtel","Neuenburg","Neuenburg","NE",63.561484073,"Neuchâtel","Neuenburg","Neuenburg","NE","NE","NE",63.561484073,63.561484073,63.561484073
"22","Pully","Pully","Pully","VD",63.004194902,"Pully","Pully","Pully","VD","VD","VD",63.004194902,63.004194902,63.004194902
"23","Lully (VD)","Lully VD","Lully VD","VD",62.992125984,"Lully (VD)","Lully VD","Lully VD","VD","VD","VD",62.992125984,62.992125984,62.992125984
"24","Chêne-Bougeries","Chêne-Bougeries","Chêne-Bougeries","GE",62.990810359,"Chêne-Bougeries","Chêne-Bougeries","Chêne-Bougeries","GE","GE","GE",62.990810359,62.990810359,62.990810359
"25","Confignon","Confignon","Confignon","GE",62.791991101,"Confignon","Confignon","Confignon","GE","GE","GE",62.791991101,62.791991101,62.791991101
"26","Saint-Gall","St. Gallen","San Gallo","SG",62.606528381,"Saint-Gall","St. Gallen","San Gallo","SG","SG","SG",62.606528381,62.606528381,62.606528381
"27","Pregny-Chambésy","Pregny-Chambésy","Pregny-Chambésy","GE",62.264150943,"Pregny-Chambésy","Pregny-Chambésy","Pregny-Chambésy","GE","GE","GE",62.264150943,62.264150943,62.264150943
"28","La Scheulte","Schelten","Schelten","BE",62.162162162,"La Scheulte","Schelten","Schelten","BE","BE","BE",62.162162162,62.162162162,62.162162162
"29","Rivaz","Rivaz","Rivaz","VD",62.162162162,"Rivaz","Rivaz","Rivaz","VD","VD","VD",62.162162162,62.162162162,62.162162162
"30","Muri bei Bern","Muri bei Bern","Muri bei Bern","BE",62.049861496,"Muri bei Bern","Muri bei Bern","Muri bei Bern","BE","BE","BE",62.049861496,62.049861496,62.049861496
"31","Wohlen bei Bern","Wohlen bei Bern","Wohlen bei Bern","BE",62.002063983,"Wohlen bei Bern","Wohlen bei Bern","Wohlen bei Bern","BE","BE","BE",62.002063983,62.002063983,62.002063983
"32","Trogen","Trogen","Trogen","AR",61.95995785,"Trogen","Trogen","Trogen","AR","AR","AR",61.95995785,61.95995785,61.95995785
"33","Saint-Blaise","Saint-Blaise","Saint-Blaise","NE",61.868300153,"Saint-Blaise","Saint-Blaise","Saint-Blaise","NE","NE","NE",61.868300153,61.868300153,61.868300153
