"","Gemeinde_f","Gemeinde_d","Gemeinde_i","Kanton_Short","Ja_Stimmen_In_Prozent","Commune","Gemeinde","Comune","Canton","Kanton","Cantone","Pourcentage de oui","Ja in %","Percentuale di sì"
"1","Astano","Astano","Astano","TI",70.945945946,"Astano","Astano","Astano","TI","TI","TI",70.945945946,70.945945946,70.945945946
"2","Berne","Bern","Berna","BE",67.73130777,"Berne","Bern","Berna","BE","BE","BE",67.73130777,67.73130777,67.73130777
"3","Zurich","Zürich","Zurigo","ZH",63.633075571,"Zurich","Zürich","Zurigo","ZH","ZH","ZH",63.633075571,63.633075571,63.633075571
"4","Trogen","Trogen","Trogen","AR",59.875259875,"Trogen","Trogen","Trogen","AR","AR","AR",59.875259875,59.875259875,59.875259875
"5","Bâle","Basel","Basilea","BS",59.378259574,"Bâle","Basel","Basilea","BS","BS","BS",59.378259574,59.378259574,59.378259574
"6","Bienne","Biel BE","Biel BE","BE",59.038278164,"Bienne","Biel BE","Biel BE","BE","BE","BE",59.038278164,59.038278164,59.038278164
"7","Bremgarten bei Bern","Bremgarten bei Bern","Bremgarten bei Bern","BE",57.341715312,"Bremgarten bei Bern","Bremgarten bei Bern","Bremgarten bei Bern","BE","BE","BE",57.341715312,57.341715312,57.341715312
"8","Genève","Genf","Ginevra","GE",57.226975803,"Genève","Genf","Ginevra","GE","GE","GE",57.226975803,57.226975803,57.226975803
"9","Rodersdorf","Rodersdorf","Rodersdorf","SO",56.850192061,"Rodersdorf","Rodersdorf","Rodersdorf","SO","SO","SO",56.850192061,56.850192061,56.850192061
"10","Lausanne","Lausanne","Losanna","VD",56.829585579,"Lausanne","Lausanne","Losanna","VD","VD","VD",56.829585579,56.829585579,56.829585579
"11","Gempen","Gempen","Gempen","SO",56.32183908,"Gempen","Gempen","Gempen","SO","SO","SO",56.32183908,56.32183908,56.32183908
"12","Winterthour","Winterthur","Winterthur","ZH",56.109838725,"Winterthour","Winterthur","Winterthur","ZH","ZH","ZH",56.109838725,56.109838725,56.109838725
"13","Soleure","Solothurn","Soletta","SO",56.081911263,"Soleure","Solothurn","Soletta","SO","SO","SO",56.081911263,56.081911263,56.081911263
"14","Olten","Olten","Olten","SO",56.07191833,"Olten","Olten","Olten","SO","SO","SO",56.07191833,56.07191833,56.07191833
"15","Evilard","Leubringen","Leubringen","BE",55.528652139,"Evilard","Leubringen","Leubringen","BE","BE","BE",55.528652139,55.528652139,55.528652139
"16","Ennetbaden","Ennetbaden","Ennetbaden","AG",55.402750491,"Ennetbaden","Ennetbaden","Ennetbaden","AG","AG","AG",55.402750491,55.402750491,55.402750491
"17","Lucerne","Luzern","Lucerna","LU",55.281136735,"Lucerne","Luzern","Lucerna","LU","LU","LU",55.281136735,55.281136735,55.281136735
"18","Mergoscia","Mergoscia","Mergoscia","TI",55.102040816,"Mergoscia","Mergoscia","Mergoscia","TI","TI","TI",55.102040816,55.102040816,55.102040816
"19","Nidau","Nidau","Nidau","BE",54.98489426,"Nidau","Nidau","Nidau","BE","BE","BE",54.98489426,54.98489426,54.98489426
"20","Aranno","Aranno","Aranno","TI",54.605263158,"Aranno","Aranno","Aranno","TI","TI","TI",54.605263158,54.605263158,54.605263158
"21","Flurlingen","Flurlingen","Flurlingen","ZH",54.596100279,"Flurlingen","Flurlingen","Flurlingen","ZH","ZH","ZH",54.596100279,54.596100279,54.596100279
"22","Baden","Baden","Baden","AG",54.431699687,"Baden","Baden","Baden","AG","AG","AG",54.431699687,54.431699687,54.431699687
