"","Gemeinde_f","Gemeinde_d","Gemeinde_i","Kanton_Short","Ja_Stimmen_In_Prozent","Commune","Gemeinde","Comune","Canton","Kanton","Cantone","Pourcentage de non","Nein in %","Percentuale di no"
"1","Riemenstalden","Riemenstalden","Riemenstalden","SZ",24.137931034,"Riemenstalden","Riemenstalden","Riemenstalden","SZ","SZ","SZ",75.862068966,75.862068966,75.862068966
"2","Bedretto","Bedretto","Bedretto","TI",25,"Bedretto","Bedretto","Bedretto","TI","TI","TI",75,75,75
"3","Bourg-Saint-Pierre","Bourg-Saint-Pierre","Bourg-Saint-Pierre","VS",26.605504587,"Bourg-Saint-Pierre","Bourg-Saint-Pierre","Bourg-Saint-Pierre","VS","VS","VS",73.394495413,73.394495413,73.394495413
"4","Unteriberg","Unteriberg","Unteriberg","SZ",29.661941112,"Unteriberg","Unteriberg","Unteriberg","SZ","SZ","SZ",70.338058888,70.338058888,70.338058888
"5","Buseno","Buseno","Buseno","GR",31.25,"Buseno","Buseno","Buseno","GR","GR","GR",68.75,68.75,68.75
"6","Alpthal","Alpthal","Alpthal","SZ",34.412955466,"Alpthal","Alpthal","Alpthal","SZ","SZ","SZ",65.587044534,65.587044534,65.587044534
"7","Rossa","Rossa","Rossa","GR",35.135135135,"Rossa","Rossa","Rossa","GR","GR","GR",64.864864865,64.864864865,64.864864865
"8","Furna","Furna","Furna","GR",35.897435897,"Furna","Furna","Furna","GR","GR","GR",64.102564103,64.102564103,64.102564103
"9","Hundwil","Hundwil","Hundwil","AR",36.391437309,"Hundwil","Hundwil","Hundwil","AR","AR","AR",63.608562691,63.608562691,63.608562691
"10","Urnäsch","Urnäsch","Urnäsch","AR",36.396614268,"Urnäsch","Urnäsch","Urnäsch","AR","AR","AR",63.603385732,63.603385732,63.603385732
"11","Cama","Cama","Cama","GR",37.272727273,"Cama","Cama","Cama","GR","GR","GR",62.727272727,62.727272727,62.727272727
"12","Bister","Bister","Bister","VS",37.5,"Bister","Bister","Bister","VS","VS","VS",62.5,62.5,62.5
"13","Hérémence","Hérémence","Hérémence","VS",37.830319889,"Hérémence","Hérémence","Hérémence","VS","VS","VS",62.169680111,62.169680111,62.169680111
"14","Muotathal","Muotathal","Muotathal","SZ",37.87772312,"Muotathal","Muotathal","Muotathal","SZ","SZ","SZ",62.12227688,62.12227688,62.12227688
"15","Steinerberg","Steinerberg","Steinerberg","SZ",38.718662953,"Steinerberg","Steinerberg","Steinerberg","SZ","SZ","SZ",61.281337047,61.281337047,61.281337047
"16","Oberiberg","Oberiberg","Oberiberg","SZ",39.108910891,"Oberiberg","Oberiberg","Oberiberg","SZ","SZ","SZ",60.891089109,60.891089109,60.891089109
"17","Evolène","Evolène","Evolène","VS",40.167364017,"Evolène","Evolène","Evolène","VS","VS","VS",59.832635983,59.832635983,59.832635983
"18","Illgau","Illgau","Illgau","SZ",40.307692308,"Illgau","Illgau","Illgau","SZ","SZ","SZ",59.692307692,59.692307692,59.692307692
"19","Mauborget","Mauborget","Mauborget","VD",40.625,"Mauborget","Mauborget","Mauborget","VD","VD","VD",59.375,59.375,59.375
